,Potential,Element,1_0_0 surface energy,1_1_0 surface energy,1_1_1 surface energy,2_1_0 surface energy,2_1_1 surface energy,2_2_1 surface energy,3_1_0 surface energy,3_1_1 surface energy,3_2_0 surface energy,3_2_1 surface energy,3_2_2 surface energy,3_3_1 surface energy,3_3_2 surface energy,c_1_1 elastic constant,c_1_2 elastic constant,c_1_3  elastic constant,c_4_4  elastic constant,Shear modulus,Bulk modulus,Cohesive energy,Vacancy formation energy
25,FeCuNi.eam.alloy,Ni,1.7642578407944312,1.9866178791592608,2.5570886855369466,2.0940133645677528,2.0249874120097586,2.060561573906443,2.0419176205978258,2.0780141722291354,2.077222850213726,2.0163169882728704,1.8659431292442537,2.064587717283096,1.856102449590873,244.2,148.5,148.5,125.5,94.4,180.4,4.4502615,1.5598383999999657
26,FeNiCr_Bonny_2013_ptDef.eam.alloy,Fe,1.7946681182313733,2.0935184054563916,1.7849336606822142,2.178547830974759,2.1320750586083443,1.998482448706012,2.0983704258983096,2.080681592626134,2.1660893695842023,2.137194041784152,2.043279453831071,2.0539785503039956,1.9880854591341632,154.0,122.0,122.0,77.0,52.6,132.7,4.39964725,1.9900060000001343
27,FeNiCr_Bonny_2013_ptDef.eam.alloy,Ni,1.8371657631235523,1.948104495039953,2.409814284574964,2.013205123079774,2.026139907546378,2.054945075359688,2.0046270140634452,2.0872586532478006,2.0127315256470166,2.010766470459833,1.9317057375090008,2.0461365943487406,1.926245410630636,247.1,144.2,144.2,107.6,85.1,178.5,4.448659,1.3904409000001436
28,FeNiCr_Bonny_2013_ptDef.eam.alloy,Cr,2.368065344655822,3.249409977344443,3.68989639048871,2.814519237832506,3.5824836825580473,3.6563663363184635,2.878152356051999,3.57292095237228,2.879708572535932,3.6307270771635025,3.6341650861340087,3.675697820053598,3.631196197278798,245.5,173.4,173.4,36.0,103.4,197.4,4.20010395,2.2901511999999036
29,FeNiCr_Bonny_2013_ptDef.eam.alloy,Cr,2.3712537473076067,2.4981025004587782,2.30529601322547,2.5784827421527647,2.5742032395577445,2.6154316486271796,2.5713518698088373,2.5309232698631554,2.5766866592857425,2.5622845926296707,2.4788747025539664,2.5094232467918216,2.479201789484778,245.5,173.4,173.4,148.4,103.5,197.4,4.200104,2.289651200000029
30,FeNiCr.eam.alloy,Fe,1.6269179125356024,1.7867072418440593,1.6138183160899717,1.8705114148218567,1.7892670382677665,1.7593260487809206,1.847403830113819,1.8030687569349582,1.8613403257285575,1.8421018195088006,1.7623905005579894,1.7928460205745669,1.763264656805648,141.1,100.3,100.3,108.2,73.1,113.9,4.1166315,2.052563799999991
31,FeNiCr.eam.alloy,Ni,0.7745337937929243,1.033977595928437,0.6891119968976949,1.1329986666229157,0.9191510421281938,0.884780905936832,1.0464866785814597,0.9991805614202873,1.1070918370751883,1.0301113517564537,0.8353522062640859,0.9461936861845069,0.8746998331313809,246.9,147.1,147.1,125.0,95.0,180.4,4.44974225,1.4814577999999896
32,FeNiCr.eam.alloy,Cr,1.5020129179161015,2.099006387926105,1.396975226612135,1.8613248594611884,1.7723653147731218,1.622223395578232,1.7912326988056413,1.7783131163888737,1.842473728495469,1.7708538561525942,1.6124683317185555,1.6865678624911395,1.5514345110642327,247.3,182.5,182.5,145.5,100.3,204.1,3.6902895,2.2242897000002984
33,FeNiCr.eam.alloy,Cr,1.5020129179166741,1.7540361708244956,1.3969752266120363,1.8613248594570138,1.663735838331899,1.622221835787058,1.7918395601590107,1.7356804304529863,1.843227654909941,1.7679798792635903,1.6124683312749024,1.6865678999169704,1.5514345110469447,247.3,182.5,182.5,145.5,100.3,204.1,3.6902895,2.224389700000046
34,Fe-Ni.eam.alloy,Ni,1.7642578407944312,1.9866178791592608,2.5570886855369723,2.0940133645677528,2.024987412008672,2.060561573906443,2.0419176205978258,2.0780141722291923,2.077222850213726,2.0163169882728704,1.8659431292442537,2.06458771728626,1.856102449590873,244.2,148.5,148.5,125.5,94.4,180.4,4.4502615,1.5598383999999657
35,mg-al-set.eam.alloy,Al,0.957162500809304,1.0489307350573531,0.8835005331900835,1.0911803428139373,1.0740353007882053,1.0077574433281302,1.0733393729352279,1.0997146642484954,1.0896291865931451,1.068986037019102,1.0020012630858979,1.152689492796162,0.9962220293313931,118.0,62.2,62.2,36.7,33.2,80.8,3.36005275,0.6872273000000009
36,Mishin-Al-Co-2013.eam.alloy,Al,0.9489285467763832,1.0131042551581362,1.2765012360920518,1.053040642667437,1.0416110001465515,0.9828171478012127,1.0424274698121878,1.0203773796986995,1.0507016804208478,1.0328472589997957,0.9617563996135784,1.0064712845041064,0.9514729463167413,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.673749999999941
37,Mishin-Al-Co-2013.eam.alloy,Co,2.4866478508711887,2.6125949565906743,2.33370228681695,2.6968368663848707,2.6707129951047914,2.632489689579148,2.729626635355135,2.6530673777471327,2.716924988315485,2.7276935255654533,2.5719275556927736,2.683834791380728,2.597942883992017,275.8,159.0,159.0,108.2,88.3,197.9,4.3848785,1.5535455999998096
38,Mishin-Ni-Al-2009.eam.alloy,Ni,1.9450488705261864,2.0967801580526766,1.7628953956745999,2.1963554052149914,2.1414951859411926,2.0100013809591726,2.1724631404295707,2.147755327515828,2.1852353220075824,2.132574524421388,1.993071021440225,2.1780030076479564,1.986847633328811,241.3,150.8,150.8,127.3,94.5,181.0,4.45,1.5712000000001352
39,Mishin-Ni-Al-2009.eam.alloy,Al,0.9489285872351557,1.0131042489689868,1.2765012319971065,1.0530406578626677,0.9991230601174483,0.982809759243548,1.0437877086192544,1.058994546218632,1.050701657775353,1.0333528542794255,0.9948583675000053,1.0036229756131003,0.9739952767552666,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.6744999999999801
40,Mishin-Ni-Al-2009.eam.alloy,Al,0.9489285872351491,1.0131042489689923,0.8747859129377701,1.053040657862464,0.999123060196257,1.0577007978917676,1.042427437070653,1.0188323113443611,1.0504142179712952,1.0334591325071494,0.9768803256021441,1.006482307613567,0.951598358970189,113.8,61.5,61.5,31.6,29.4,78.9,3.36,0.673749999999941
41,Mishin-Ni-Al-Co-2013.eam.alloy,Ni,1.9450488584585424,2.0967801820405705,2.9205664485589375,2.1963554108830032,2.2479862092750995,2.1737930558340826,2.1724631181746514,2.2460717430262664,2.185158333227674,2.1328776960545164,2.0322288822883223,2.2904753881015374,2.0409922933527036,241.3,150.8,150.8,127.3,94.5,181.0,4.45,1.5712000000001352
